algorithm,run,seed,noise_label,best_true_f,best_observed_f,x1,x2,feasible,evaluations,param_initial_temp,param_cooling_rate,param_step_size,param_min_temp,param_population_size,param_elite_fraction,param_crossover_rate,param_mutation_step,param_mutation_decay,param_min_mutation_step,param_tournament_size,param_initial_step,param_min_step,param_base_samples,param_max_samples,param_ambiguity_z
ARS,19,20479779,hetero,-0.724364010862907,-1.028209409028302,0.8523699198496401,0.5229393078890879,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,20,20280782,hetero,-0.663899670202919,-1.4297289883947637,0.817181127229808,0.5763809550110242,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,20,20380785,hetero,-0.7214319297747214,-1.4204385884029311,0.8352721349546113,0.5498367581095007,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,20,20480788,hetero,-0.7070118859679994,-1.0532443627990458,0.8177016299964809,0.5479704138815022,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,21,20281791,hetero,-0.7298288812497451,-1.356243058942034,0.8441332427732856,0.53613344275941,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,21,20381794,hetero,-0.6513900801549937,-1.378829493072403,0.8726904521862577,0.4882738725991234,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,21,20481797,hetero,-0.7294114516742582,-1.0083545171140254,0.8470375815199652,0.5315330050832294,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,22,20282800,hetero,-0.7071610336324972,-1.3481859762374233,0.859995045274236,0.510302383008119,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,22,20382803,hetero,-0.6364799511728634,-1.4448786224868078,0.847549513213869,0.45681239871867574,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,22,20482806,hetero,-0.7281350796035682,-1.0996609279652283,0.8490876867096403,0.5282519287973035,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,23,20283809,hetero,-0.723393838514736,-1.2987643730341074,0.8529997070489982,0.5219113907305752,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,23,20383812,hetero,-0.7028610732310765,-1.5898371925295178,0.8613441824027115,0.508021849373631,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,23,20483815,hetero,-0.7223483684063793,-1.1768164745740095,0.8536266755435109,0.520885302922374,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,24,20284818,hetero,-0.678110363054098,-1.302772510883082,0.8675519505938772,0.4973465723424247,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,24,20384821,hetero,-0.7259101433390793,-1.264574258842195,0.838314173543459,0.5451874415612921,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,24,20484824,hetero,-0.7243879905577022,-1.0915778667251266,0.8371496015594996,0.5469739889691017,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,25,20285827,hetero,-0.7058551180767456,-1.3157013190427151,0.8274428474072345,0.48946801401831763,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,25,20385830,hetero,-0.7219866572398722,-1.2687516903409288,0.8355966067100083,0.549343527180142,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,25,20485833,hetero,-0.7157058575122865,-1.0426809172794604,0.8464376022114231,0.4970798597976994,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,26,20286836,hetero,-0.6985357666809189,-1.1443867164619042,0.8262653706258706,0.48536625932019145,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,26,20386839,hetero,-0.7273303477816166,-1.3837936242326816,0.8499715040262923,0.5268286650736487,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,26,20486842,hetero,-0.7273010448495425,-1.0619405903183075,0.8500007839932622,0.5267814226136297,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,27,20287845,hetero,-0.7288145024106877,-1.2256704437174628,0.8481597914786831,0.5297404724191241,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,27,20387848,hetero,-0.6710050152371365,-1.3098958513908154,0.8516848380873383,0.472901358076198,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,27,20487851,hetero,-0.7279779142145433,-1.0793593634473844,0.8494118744390197,0.5222940060522647,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,28,20288854,hetero,-0.6981840595031434,-1.267978248927125,0.8260005324572933,0.5636693360297931,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,28,20388857,hetero,-0.7072834119352258,-1.3072161782223066,0.8599548075744049,0.5103701881278612,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,28,20488860,hetero,-0.7284763296565399,-1.0458751231588264,0.8486503787883565,0.5289541894931727,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
